,ASARCO,Avondale,AZ State Land,"AZWC, Coolidge","AZWC, White Tank","AZWC, Casa Grande","AZWC, Superstition",Buckeye,CAGRD,Carefree WC,Cave Creek,Chandler,Chaparral City WC,El Mirage,Eloy,"EPCOR, AF","EPCOR, PV","EPCOR, SC","EPCOR, SCW","EPCOR, ST",Florence,Freeport,Freeport-Miami,FWID,Gilbert,Glendale,Goodyear,"Greater Tonopah, Water Utility",Marana,Maricopa Cty P&R,Mesa,Metro DWID,Oro Valley,Peoria,Phoenix,Queen Creek,Resolution Copper,Rio Verde Utilities,Rosemont Copper,Scottsdale,Spanish Trail WC,SRP,Surprise,Tempe,Tonto Hills DWID,Tucson,Vail WC,"WUCFD, Apache Junction",BKW Farms,CAIDD,CHCID,HIDD,HVID,MSIDD,MWD,NMIDD,QCID,SCIDD,RWCD,TID,Ak-Chin,GRIC,Pascua Yaqui,Tohono O'odham - ST,Tohono O'odham - SX,AWBA Phx AMA,AWBA Pinal AMA,AWBA Tucson AMA,USBR,AWBA Interstate
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,315.0,48.0,109.0,791.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.0,0.0,0.0,1905.0,0.0,0.0,0.0,21.0,2452.0,568.0,546.0,2477.0,13216.0,0.0,0.0,35.0,0.0,4091.0,476.0,0.0,417.0,200.0,3.0,6158.0,100.0,0.0,0.0,84.0,0.0,888.0,400.0,3020.0,0.0,0.0,630.0,0.0,0.0,0.0,2695.0,317.0,30.0,419.0,1556.0,1335.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,4093.0,34.0,82.0,509.0,479.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,1107.0,2182.0,0.0,0.0,0.0,22.0,2157.0,1210.0,650.0,1074.0,13932.0,0.0,0.0,35.0,0.0,5126.0,232.0,0.0,1500.0,243.0,2.0,10882.0,100.0,0.0,0.0,363.0,0.0,1287.0,411.0,1804.0,0.0,0.0,1157.0,0.0,0.0,0.0,2762.0,2841.0,22.0,436.0,1645.0,1444.0,0.0,2623.0,0.0,0.0
2018-03-01,0.0,1632.0,0.0,0.0,0.0,0.0,180.0,0.0,4789.0,52.0,102.0,2473.0,535.0,0.0,4.0,877.0,323.0,599.0,339.0,0.0,0.0,0.0,0.0,0.0,6971.0,1555.0,0.0,0.0,0.0,31.0,3473.0,1508.0,1753.0,855.0,10237.0,25.0,0.0,40.0,0.0,4485.0,742.0,0.0,2583.0,253.0,2.0,13484.0,100.0,0.0,0.0,7153.0,0.0,4975.0,1110.0,5323.0,0.0,0.0,189.0,0.0,0.0,0.0,8796.0,4709.0,47.0,806.0,2196.0,1000.0,510.0,2052.0,0.0,0.0
2018-04-01,0.0,1000.0,0.0,0.0,0.0,0.0,327.0,72.0,6328.0,56.0,175.0,3822.0,543.0,0.0,17.0,1512.0,323.0,599.0,339.0,0.0,0.0,0.0,0.0,0.0,5888.0,1679.0,0.0,0.0,454.0,61.0,4426.0,2094.0,2460.0,1361.0,14720.0,30.0,0.0,40.0,0.0,7664.0,650.0,0.0,1117.0,450.0,3.0,14390.0,100.0,0.0,0.0,13996.0,0.0,9027.0,3177.0,14969.0,0.0,0.0,924.0,0.0,0.0,0.0,9755.0,12192.0,89.0,2587.0,3373.0,2616.0,610.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3654.0,97.0,2341.0,59.0,208.0,1909.0,554.0,0.0,7.0,1111.0,323.0,599.0,339.0,0.0,512.0,0.0,0.0,0.0,7639.0,1765.0,0.0,0.0,709.0,67.0,5255.0,1150.0,1750.0,2457.0,19673.0,55.0,0.0,40.0,0.0,7673.0,937.0,0.0,967.0,500.0,38.0,15130.0,100.0,0.0,0.0,10284.0,0.0,10074.0,3434.0,20569.0,0.0,0.0,0.0,0.0,0.0,0.0,12092.0,17061.0,88.0,1272.0,5965.0,1717.0,1246.0,0.0,2500.0,0.0
2018-06-01,1146.0,0.0,0.0,2000.0,625.0,0.0,380.0,125.0,2216.0,65.0,215.0,2140.0,883.0,0.0,1617.0,1500.0,323.0,598.0,339.0,0.0,512.0,0.0,405.0,0.0,9614.0,1819.0,0.0,0.0,400.0,73.0,6003.0,1980.0,1107.0,4268.0,20150.0,96.0,0.0,40.0,0.0,6660.0,0.0,0.0,1167.0,450.0,3.0,11982.0,100.0,0.0,0.0,13928.0,0.0,1645.0,3954.0,20160.0,0.0,0.0,0.0,226.0,0.0,0.0,16428.0,37025.0,94.0,1303.0,3951.0,0.0,3034.0,0.0,500.0,0.0
2018-07-01,6306.0,2784.0,0.0,0.0,0.0,0.0,420.0,0.0,2058.0,67.0,197.0,2695.0,813.0,0.0,6.0,1639.0,324.0,598.0,339.0,0.0,512.0,0.0,0.0,0.0,5557.0,2063.0,0.0,0.0,773.0,79.0,5920.0,2225.0,1427.0,2999.0,19163.0,98.0,0.0,45.0,0.0,6416.0,0.0,0.0,417.0,494.0,4.0,9729.0,100.0,0.0,0.0,13859.0,0.0,1121.0,4181.0,15588.0,0.0,0.0,0.0,1928.0,0.0,0.0,9679.0,54178.0,59.0,1498.0,5518.0,0.0,0.0,1000.0,0.0,1271.0
2018-08-01,5574.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,11705.0,66.0,175.0,2438.0,710.0,0.0,9.0,1515.0,338.0,613.0,354.0,0.0,512.0,0.0,1073.0,1000.0,1731.0,2197.0,0.0,0.0,0.0,65.0,5402.0,2141.0,312.0,5102.0,17470.0,111.0,0.0,45.0,0.0,6239.0,0.0,0.0,0.0,501.0,2.0,15872.0,857.0,0.0,0.0,15883.0,0.0,0.0,4085.0,8344.0,0.0,0.0,0.0,1328.0,0.0,0.0,6421.0,42222.0,71.0,1530.0,1918.0,302.0,0.0,0.0,1000.0,2319.0
2018-09-01,5555.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,3374.0,64.0,180.0,2717.0,526.0,508.0,3.0,1227.0,283.0,558.0,298.0,0.0,0.0,0.0,0.0,1800.0,2674.0,2008.0,0.0,0.0,0.0,66.0,4852.0,584.0,300.0,1599.0,14870.0,80.0,0.0,40.0,0.0,10572.0,0.0,0.0,2081.0,451.0,3.0,14379.0,0.0,0.0,0.0,8552.0,0.0,0.0,2107.0,178.0,0.0,0.0,0.0,1182.0,0.0,0.0,4956.0,35354.0,0.0,854.0,2189.0,3091.0,2300.0,61.0,0.0,6983.0
2018-10-01,1867.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,2755.0,61.0,128.0,2284.0,619.0,0.0,0.0,921.0,994.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,2696.0,1864.0,0.0,0.0,0.0,40.0,3996.0,0.0,0.0,969.0,9606.0,0.0,0.0,40.0,0.0,5666.0,0.0,0.0,0.0,351.0,2.0,6513.0,100.0,0.0,0.0,143.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1132.0,13813.0,0.0,0.0,3376.0,6971.0,1504.0,2064.0,227.0,949.0
2018-11-01,552.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,2136.0,41.0,140.0,1918.0,443.0,0.0,0.0,100.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,2670.0,1670.0,0.0,0.0,0.0,27.0,4386.0,0.0,0.0,841.0,13094.0,0.0,0.0,40.0,0.0,5591.0,0.0,0.0,0.0,350.0,3.0,1166.0,100.0,0.0,0.0,1048.0,0.0,0.0,2141.0,571.0,0.0,0.0,0.0,410.0,0.0,0.0,4337.0,17755.0,0.0,1353.0,5248.0,261.0,1396.0,0.0,685.0,1674.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,897.0,37.0,149.0,1457.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,1045.0,1576.0,0.0,0.0,0.0,16.0,5186.0,0.0,0.0,1234.0,16267.0,0.0,0.0,40.0,0.0,4505.0,0.0,0.0,0.0,250.0,3.0,3642.0,100.0,0.0,0.0,133.0,0.0,67.0,1828.0,2160.0,0.0,0.0,0.0,399.0,6.0,0.0,996.0,9031.0,0.0,663.0,4788.0,363.0,500.0,0.0,88.0,304.0
